comm_id	external_ref	date	direction	channel	counterpart	subject	related_issues	status	evidence_path	next_action	due
MORAI-001	KATECH-SIM-ROS2	2026-07-04	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	§1/§3 보강 승인 후 사용자 발송	2026-07-06
MORAI-002	KATECH-API-PY37	2026-07-04	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	TODO_DRAFT		초안 작성	
MORAI-003		2026-07-04	OUT	email	MORAI support	기능요청: ROS 연결 CLI/설정파일화·시나리오시작 자동Connect·런처 자동기동 인자·Headless 로드맵	R18	TODO_DRAFT		초안 작성(001 회신 흐름에 병행)	
MORAI-003		2026-07-04	OUT	email	MORAI support	기능요청: ROS 연결 CLI/설정파일화·시나리오시작 자동Connect·런처 자동기동 인자·Headless 로드맵; sourcedefender 제거 정책·API 공식 아카이브	R18	TODO_DRAFT		AMEND: subject 에 sourcedefender 제품개선 추가(MORAI-002 §6 이관)	
MORAI-002	KATECH-API-PY37	2026-07-04	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	DRAFT	vendor/morai/OUTBOX/MORAI-002_avs006_inquiry.md	AMEND: 초안 완료(DRAFT); 사용자 검토·발송	
MORAI-001	KATECH-SIM-ROS2	2026-07-04	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	AMEND: §1/§3 보강 완료; N회 기입 후 사용자 발송	2026-07-06
MORAI-001	KATECH-SIM-ROS2	2026-07-06	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	AMEND: 재검증 완료(N=3, 2026-07-06) — 발송 준비 완료, 사용자 발송	2026-07-08
MORAI-002	KATECH-API-PY37	2026-07-06	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	DRAFT	vendor/morai/OUTBOX/MORAI-002_avs006_inquiry.md	AMEND: 재검증 완료(N=3, 2026-07-06) — 발송 준비 완료, 사용자 발송	2026-07-08
MORAI-004		2026-07-06	OUT	email	MORAI CTO	과제협조요청 커버 (CTO 수신, 001/002 첨부)	AVS-006,AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-004_cover_cto.md	본문 붙여넣기 후 발송	2026-07-08
MORAI-004		2026-07-06	OUT	email	MORAI CTO	과제협조요청 커버 (CTO 수신, 001/002 첨부)	AVS-006,AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-004_cover_cto.md	AMEND: 본문 반영·첨부 정합 확인 — 발송 준비 완료, 사용자 발송	2026-07-08
MORAI-004		2026-07-06	OUT	email	MORAI CTO	과제협조요청 커버 (CTO 수신, 001/002 첨부)	AVS-006,AVS-007	SENT	vendor/morai/SENT/20260706_MORAI-004_cover_cto.md	AMEND: 발송 완료(2026-07-06) — 1차 회신 대기	2026-07-10
MORAI-001	KATECH-SIM-ROS2	2026-07-06	OUT	email	MORAI CTO	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	SENT	vendor/morai/SENT/20260706_KATECH-SIM-ROS2_기술상세.md	AMEND: MORAI-004 첨부로 발송 — 회신 대기	2026-07-10
MORAI-002	KATECH-API-PY37	2026-07-06	OUT	email	MORAI CTO	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	SENT	vendor/morai/SENT/20260706_KATECH-API-PY37_기술상세.md	AMEND: MORAI-004 첨부로 발송 — 회신 대기	2026-07-10
MORAI-004		2026-07-08	IN	email	MORAI 양종범	회신: 이슈 2건 안내 (커버에 기술담당 직접 회신)	AVS-006,AVS-007	ANSWERED	vendor/morai/INBOX/20260708_reply_MORAI-004_yangjongbeom.md	AMEND: 1차 회신 수신 — 후속은 001/002 개별 트랙	
MORAI-002	KATECH-API-PY37	2026-07-08	IN	email	MORAI 양종범	회신: Python 업그레이드 후 API 재빌드 제공(목표 금요일)	AVS-006	ANSWERED	vendor/morai/INBOX/20260708_reply_MORAI-004_yangjongbeom.md	AMEND: 재빌드 lib 수령 대기(~7/10) — 수령 시 env 재생성+Stage03.5 재개	2026-07-10
MORAI-001	KATECH-SIM-ROS2	2026-07-08	IN	email	MORAI 양종범	회신: morai_msg 미소싱 진단, 환경설정 확인 권장	AVS-007	ANSWERED	vendor/morai/INBOX/20260708_reply_MORAI-004_yangjongbeom.md	AMEND: 진단 검증 T-24 진행(26.R1 재빌드 완료, GUI 세션 대기) — 결과 따라 재회신	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	OUT	email	MORAI 양종범	재회신: 진단 검증 결과 — 소싱 완료 상태에서 동일 증상(T-24 분기 C)	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_t24_followup.md	AMEND: T-24 매트릭스 4/4 FAIL — 반증 증거 4건 동결(vendor/morai/evidence/avs007_t24_20260710_*), 사용자 검토 후 발송	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	OUT	email	MORAI 양종범	재회신: 진단 검증 결과 — 소싱 완료 상태에서 동일 증상(T-24 분기 C)	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_t24_reply_email.md	AMEND: 초안을 이메일 본문+기술상세(MORAI-001_avs007_t24_followup.md) 2문서로 분리(지난번 커버 구조) — 사용자 검토 후 send/ 패키지 동결·발송	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	OUT	email	MORAI 양종범	재회신: 진단 검증 결과 — 소싱 완료 상태에서 동일 증상(T-24 분기 C)	AVS-007	DRAFT	vendor/morai/OUTBOX/send/MORAI-001_t24_reply_email_send.md	AMEND: send 패키지 동결 완료(본문 send본+기술상세 PDF+evidence zip 4건) — 발송만 남음. 발송 후 SENT 전이+SENT/ 동결	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	OUT	email	MORAI 양종범	재회신: 진단 검증 결과 — 소싱 완료 상태에서 동일 증상(T-24 분기 C)	AVS-007	SENT	vendor/morai/SENT/20260710_MORAI-001_t24_reply_email.md	AMEND: 발송 완료(2026-07-10, 스레드 답장+PDF+zip) — 회신 대기(환경정보/호환조합·standalone ros2cs/ROS2 헤더 옵션)	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	IN	email	MORAI 양종범	2차 회신: 질문 3건 답변(벤더 fastdds 2.6.10/rmw 6.2.8 2025-07 sync, rosbridge는 ROS2 경로 아님) + 소싱 후 바이너리 직접 실행 재확인 요청	AVS-007	ANSWERED	vendor/morai/INBOX/20260710_reply2_MORAI-001_yangjongbeom.md	AMEND: 재확인 요청 검증(직접 실행 방식) + fastdds 2025-07 조합 미실측 셀 시험 검토 — 결과로 재회신	
MORAI-002	KATECH-API-PY37	2026-07-10	IN	email	MORAI 양종범	재빌드 API 납품: OpenSCENARIO API Python 3.13 대상 빌드 첨부(기한 준수)	AVS-006	ANSWERED	vendor/morai/INBOX/20260710_reply2_MORAI-001_yangjongbeom.md	AMEND: 첨부 파일 host 전송 대기 — 수령 시 py3.13 env 재생성+sourcedefender 확인+Stage03.5 재개	
MORAI-001	KATECH-SIM-ROS2	2026-07-10	OUT	email	MORAI 양종범	3차 회신(해결 보고): 벤더 방식 정상 동작 확인, 원인=RMW_IMPLEMENTATION 환경변수(H4) — AVS-007 RESOLVED	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_t25_resolution_email.md	AMEND: 초안 작성 — 사용자 검토 후 발송(발송 시 SENT 동결). API 검증 결과는 MORAI-002 트랙 별도	
